scale,target_high_res_fractal,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8
0.5,1.7518181324887467,88.84300899505615,39.39031374140514,0.1822223663330078,0.15990829467773438,1.588217747612958,16.969490857347186,13.862944564872768,1.0,23923.614697116183
0.3,1.7518181324887467,88.65383529663086,37.88703773913739,0.1179494857788086,0.15267276763916016,1.619432988624459,13.65468252648426,13.862944564872768,1.0,16422.38524169857
0.2,1.7518181324887467,88.65438270568848,36.95789818573077,0.051784515380859375,0.15007305145263672,1.6588600278549244,11.224644613489811,13.862944564872768,1.0,10544.846421286684
0.15,1.7518181324887467,88.65437698364258,36.43986820319848,0.01090240478515625,0.14873409271240234,1.696346608116384,9.66377153540747,13.862944564872768,1.0,7927.922448825614
0.1,1.7518181324887467,88.65461540222168,35.92335939030325,0.00013446807861328125,0.1468334197998047,1.7531085353541989,7.912718439470659,13.862944564872768,1.0,5476.97066546624
0.5,1.7100927270428574,88.72728,39.3307208655219,0.18655,0.158113,1.5780209452138785,17.09442797883098,13.815511557963774,1.0,24033.544421293864
0.3,1.7100927270428574,88.546973,37.76023092537003,0.121032,0.150916,1.60324308298463,13.651751146043226,13.815511557963774,1.0,16220.886990755007
0.2,1.7100927270428574,88.56994,36.892413209173505,0.056855,0.148553,1.633160978538111,11.411928680252606,13.815511557963774,1.0,10720.612831668255
0.15,1.7100927270428574,88.548471,36.303527467205704,0.011622,0.146761,1.679425991178788,9.672429631559655,13.815511557963774,1.0,7749.894019554389
0.1,1.7100927270428574,88.557224,35.77876176468134,0.000209,0.144613,1.7353647986996579,7.890921621762661,13.815511557963774,1.0,5353.045399421218
0.5,1.7100927270428574,88.72728,39.3307208655219,0.18655,0.158113,1.5780209452138785,17.09442797883098,13.815511557963774,1.0,24033.544421293864
0.3,1.7100927270428574,88.546973,37.76023092537003,0.121032,0.150916,1.60324308298463,13.651751146043226,13.815511557963774,1.0,16220.886990755007
0.2,1.7100927270428574,88.56994,36.892413209173505,0.056855,0.148553,1.633160978538111,11.411928680252606,13.815511557963774,1.0,10720.612831668255
0.15,1.7100927270428574,88.548471,36.303527467205704,0.011622,0.146761,1.679425991178788,9.672429631559655,13.815511557963774,1.0,7749.894019554389
0.1,1.7100927270428574,88.557224,35.77876176468134,0.000209,0.144613,1.7353647986996579,7.890921621762661,13.815511557963774,1.0,5353.045399421218
0.5,1.5401159495895582,88.7412,35.796000091630354,0.1564,0.1516,1.4298271346903135,7.462721419193139,9.210440366976517,1.0,2648.226724915356
0.3,1.5401159495895582,88.5858,34.9170536895655,0.0691,0.1389,1.418053141435938,4.728496159098458,9.210440366976517,1.0,1993.9274880701198
0.2,1.5401159495895582,88.6059,34.430631495660954,0.0256,0.1379,1.3782476612036945,3.81832512562336,9.210440366976517,1.0,1742.8584525096044
0.15,1.5401159495895582,88.5739,33.83502828120585,0.0,0.1239,1.3352280555512692,3.0612473514594774,9.210440366976517,1.0,1536.2351069973372
0.5,1.6129179136990068,88.4786,36.06860327265252,0.146175,0.1442,1.563383807627077,9.315115660464395,10.596659732783579,1.0,4299.393419932411
0.3,1.6129179136990068,88.298325,35.31539292142132,0.0524,0.14365,1.5565170435144433,6.708484556445187,10.596659732783579,1.0,2975.304622136243
0.2,1.6129179136990068,88.314025,34.96758303485351,0.009925,0.1393,1.5623504789300218,5.472173119037894,10.596659732783579,1.0,2402.9963249590837
0.15,1.6129179136990068,88.286,34.68067911676471,0.0,0.136075,1.544248565493968,4.678460282704986,10.596659732783579,1.0,2133.4264470500116
0.1,1.6129179136990068,88.276725,34.214740949981994,0.0,0.126525,1.5417491448407803,3.8943876126490884,10.596659732783579,1.0,1905.0083231159392
0.5,1.6531786061235112,88.72872222222222,36.427896781489316,0.14614444444444444,0.14924444444444446,1.5876946430260823,9.998743029004945,11.407576060361786,1.0,6049.461360075258
